,c,w,W
0,8,22,473
1,1,3,473
2,2,3,473
3,11,2,473
4,2,20,473
5,20,15,473
6,11,19,473
7,11,17,473
8,13,17,473
9,10,13,473
10,23,19,473
11,18,11,473
12,2,20,473
13,24,2,473
14,3,21,473
15,3,2,473
16,14,14,473
17,17,11,473
18,16,13,473
19,8,22,473
20,12,17,473
21,9,13,473
22,15,19,473
23,3,9,473
24,20,2,473
25,8,12,473
26,1,15,473
27,17,11,473
28,11,6,473
29,1,22,473
30,13,22,473
31,19,5,473
32,19,17,473
33,8,6,473
34,19,19,473
35,4,5,473
36,24,15,473
37,4,15,473
38,4,9,473
39,18,8,473
40,5,7,473
41,2,20,473
42,11,3,473
43,7,23,473
44,24,7,473
45,5,5,473
46,19,18,473
47,12,11,473
48,11,6,473
49,19,7,473
50,13,4,473
51,20,21,473
52,24,10,473
53,9,8,473
54,20,24,473
55,5,3,473
56,4,11,473
57,19,7,473
58,19,5,473
59,7,10,473
60,21,21,473
61,21,13,473
62,20,18,473
63,22,3,473
64,18,15,473
65,2,12,473
66,9,5,473
67,7,12,473
68,12,15,473
69,22,20,473
70,6,7,473
71,16,12,473
72,2,22,473
73,16,24,473
74,17,23,473
