,c,w,W
0,18,14,1653
1,16,2,1653
2,10,2,1653
3,16,11,1653
4,1,12,1653
5,6,1,1653
6,15,7,1653
7,3,8,1653
8,3,4,1653
9,4,1,1653
10,6,1,1653
11,3,15,1653
12,7,20,1653
13,16,13,1653
14,2,8,1653
15,18,12,1653
16,16,16,1653
17,19,11,1653
18,12,4,1653
19,16,10,1653
20,4,2,1653
21,3,18,1653
22,1,3,1653
23,9,20,1653
24,13,8,1653
25,2,6,1653
26,11,15,1653
27,7,12,1653
28,13,3,1653
29,18,12,1653
30,10,13,1653
31,2,1,1653
32,16,2,1653
33,1,7,1653
34,12,3,1653
35,9,11,1653
36,5,17,1653
37,7,18,1653
38,12,3,1653
39,12,17,1653
40,11,5,1653
41,12,6,1653
42,15,7,1653
43,15,4,1653
44,3,12,1653
45,19,11,1653
46,9,9,1653
47,16,17,1653
48,13,11,1653
49,10,16,1653
50,2,10,1653
51,20,6,1653
52,18,17,1653
53,15,17,1653
54,18,17,1653
55,8,19,1653
56,13,1,1653
57,1,13,1653
58,10,17,1653
59,20,3,1653
60,8,7,1653
61,17,12,1653
62,17,1,1653
63,18,17,1653
64,1,17,1653
65,3,6,1653
66,9,3,1653
67,16,17,1653
68,3,15,1653
69,16,11,1653
70,6,6,1653
71,9,4,1653
72,8,9,1653
73,2,5,1653
74,9,5,1653
75,5,20,1653
76,7,9,1653
77,7,17,1653
78,2,15,1653
79,5,7,1653
80,7,7,1653
81,15,12,1653
82,10,9,1653
83,2,17,1653
84,10,20,1653
85,8,6,1653
86,1,11,1653
87,10,20,1653
88,6,12,1653
89,5,19,1653
90,12,13,1653
91,5,8,1653
92,10,16,1653
93,10,6,1653
94,2,15,1653
95,5,15,1653
96,14,11,1653
97,13,8,1653
98,4,5,1653
99,11,20,1653
,9,3,1653
,3,8,1653
,11,9,1653
,13,18,1653
,16,9,1653
,7,12,1653
,7,6,1653
,6,18,1653
,15,5,1653
,10,6,1653
,8,17,1653
,11,1,1653
,7,19,1653
,12,16,1653
,1,18,1653
,18,6,1653
,15,17,1653
,13,3,1653
,5,13,1653
,8,14,1653
,18,19,1653
,15,20,1653
,16,4,1653
,11,11,1653
,17,8,1653
,17,13,1653
,2,10,1653
,11,18,1653
,20,8,1653
,3,6,1653
,5,12,1653
,12,2,1653
,9,4,1653
,5,8,1653
,11,18,1653
,1,9,1653
,15,2,1653
,2,18,1653
,9,20,1653
,5,1,1653
,9,13,1653
,4,14,1653
,7,16,1653
,15,8,1653
,6,14,1653
,11,10,1653
,19,6,1653
,15,14,1653
,10,2,1653
,18,13,1653
,15,5,1653
,18,12,1653
,20,6,1653
,3,10,1653
,20,13,1653
,3,10,1653
,14,7,1653
,20,2,1653
,4,8,1653
,9,9,1653
,18,4,1653
,3,10,1653
,7,12,1653
,11,4,1653
,16,2,1653
,11,18,1653
,2,15,1653
,13,19,1653
,11,2,1653
,14,4,1653
,17,18,1653
,18,2,1653
,14,12,1653
,19,14,1653
,1,16,1653
,15,17,1653
,5,12,1653
,13,19,1653
,13,20,1653
,15,20,1653
,20,19,1653
,7,17,1653
,5,7,1653
,20,18,1653
,14,19,1653
,11,1,1653
,11,20,1653
,17,17,1653
,10,11,1653
,14,15,1653
,2,3,1653
,18,6,1653
,10,7,1653
,18,6,1653
,5,2,1653
,10,7,1653
,19,4,1653
,8,1,1653
,1,11,1653
,8,10,1653
,6,1,1653
,14,17,1653
,12,13,1653
,2,15,1653
,15,12,1653
,12,19,1653
,6,19,1653
,10,2,1653
,19,7,1653
,9,12,1653
,2,2,1653
,12,19,1653
,17,4,1653
,14,11,1653
,6,15,1653
,4,14,1653
,14,14,1653
,16,17,1653
,16,4,1653
,7,3,1653
,3,7,1653
,3,1,1653
,5,4,1653
,6,16,1653
,14,18,1653
,15,3,1653
,18,12,1653
,13,3,1653
,8,2,1653
,18,7,1653
,6,19,1653
,10,18,1653
,4,4,1653
,13,20,1653
,7,14,1653
,13,20,1653
,18,18,1653
,19,14,1653
,11,8,1653
,9,10,1653
,5,1,1653
,3,10,1653
,2,18,1653
,9,8,1653
,1,10,1653
,15,5,1653
,13,2,1653
,9,8,1653
,17,11,1653
,17,9,1653
,8,13,1653
,11,14,1653
,15,15,1653
,12,15,1653
,12,19,1653
,8,17,1653
,19,16,1653
,13,20,1653
,15,10,1653
,10,11,1653
,16,11,1653
,12,16,1653
,9,12,1653
,11,8,1653
,18,13,1653
,16,18,1653
,8,15,1653
,16,8,1653
,14,17,1653
,2,19,1653
,1,19,1653
,5,10,1653
,5,12,1653
,6,10,1653
,4,17,1653
,20,17,1653
,3,20,1653
,4,13,1653
,3,2,1653
,10,3,1653
,18,14,1653
,6,8,1653
,16,2,1653
,13,10,1653
,6,15,1653
,2,4,1653
,6,11,1653
,6,7,1653
,8,1,1653
,11,11,1653
,10,18,1653
,17,20,1653
,1,2,1653
,15,8,1653
,15,7,1653
,12,6,1653
,18,2,1653
,1,14,1653
,9,14,1653
,18,11,1653
